#Date,Account,Amount
2019.09.05,1. Family Checking,-18.11
-,Automotive:Fuel: Nick,-18.11
2019.11.20,1. Family Checking,-4000
-,Investments:TD Ameritrade,-4000
2019.12.11,1. Family Checking,-24.21
-,Expenditures:General Merchandise,-24.21
2019.04.11,1. Family Checking,-42.14
-,Expenditures:Groceries,-42.14
2019.09.24,1. Family Checking,-56.9
-,Expenditures:Pet Care,-56.9
2019.10.10,1. Family Checking,-38.99
-,Expenditures:General Merchandise,-38.99
2019.02.23,1. Family Checking,-9.99
-,Expenditures:General Merchandise,-9.99
2019.08.08,1. Family Checking,-100
-,Education:Fees,-100
2019.04.06,1. Family Checking,-43
2019.07.07,1. Family Checking,-7.19
-,Expenditures:Entertainment,-7.19
2019.05.11,1. Family Checking,-44.72
-,Expenditures:Groceries,-44.72
2019.09.05,1. Family Checking,3877.69
2019.02.18,1. Family Checking,-15.89
-,Expenditures:General Merchandise,-15.89
2019.05.30,1. Family Checking,3353.4
-,Income:Paycheck,3353.4
2019.10.30,1. Family Checking,-21.04
-,Expenditures:Dining,-21.04
2019.05.13,1. Family Checking,-20.47
-,Automotive:Fuel: Nick,-20.47
2019.01.03,1. Family Checking,-20.1
-,Automotive:Fuel: Nick,-20.1
2019.09.30,1. Family Checking,11.94
-,Income:Paycheck,11.94
2019.09.23,1. Family Checking,-11.3
-,Expenditures:General Merchandise,-11.3
2019.01.04,1. Family Checking,-2.11
-,Expenditures:General Merchandise,-2.11
2019.05.20,1. Family Checking,-29.48
-,Expenditures:General Merchandise,-29.48
2019.04.17,1. Family Checking,-0.86
-,Expenditures:General Merchandise,-0.86
2019.03.10,1. Family Checking,-235.79
-,Expenditures:Groceries,-235.79
2019.02.19,1. Family Checking,-6.15
-,Expenditures:General Merchandise,-6.15
2019.12.03,1. Family Checking,10.81
-,Income:Returns,10.81
2019.11.23,1. Family Checking,-19.87
-,Expenditures:Dining,-19.87
2019.12.29,1. Family Checking,-28.56
-,Expenditures:Dining,-28.56
2019.03.30,1. Family Checking,-15.39
-,Expenditures:Groceries,-15.39
2019.11.25,1. Family Checking,-22.78
-,Expenditures:General Merchandise,-22.78
2019.03.12,1. Family Checking,-4.95
-,Expenditures:General Merchandise,-4.95
2019.05.02,1. Family Checking,-200
-,Education:Piano Lessons,-200
2019.10.03,1. Family Checking,-1.48
2019.09.16,1. Family Checking,-1.7
-,Expenditures:Dining,-1.7
2019.08.24,1. Family Checking,0.04
-,Income:Interest Received,0.04
2019.03.06,1. Family Checking,22.04
-,Income:Paycheck,22.04
2019.12.10,1. Family Checking,4.45
-,Income:Returns,4.45
2019.12.30,1. Family Checking,-44.99
-,Expenditures:Groceries,-44.99
2019.06.26,1. Family Checking,-1.58
-,Expenditures:Dining,-1.58
2019.09.15,1. Family Checking,-92.8
-,Expenditures:Groceries,-92.8
2019.08.04,1. Family Checking,-37.9
-,Expenditures:General Merchandise,-37.9
2019.02.11,1. Family Checking,-31.58
-,Expenditures:General Merchandise,-31.58
2019.10.31,1. Family Checking,-127.81
-,Bills:Phone,-127.81
2019.03.18,1. Family Checking,-925.88
-,1. USAA Visa Credit Card,-925.88
2019.08.09,1. Family Checking,-18.93
-,Expenditures:General Merchandise,-18.93
2019.02.07,1. Family Checking,3353.4
2019.04.22,1. Family Checking,-11.49
-,Expenditures:Dining,-11.49
2019.04.28,1. Family Checking,-24.95
-,Expenditures:General Merchandise,-24.95
2019.02.02,1. Family Checking,-21.03
-,Automotive:Fuel: Bethaney,-21.03
2019.08.20,1. Family Checking,-8.35
-,Expenditures:Groceries,-8.35
2019.10.25,1. Family Checking,-2.04
-,Expenditures:General Merchandise,-2.04
2019.04.24,1. Family Checking,-18.93
-,Expenditures:Dining,-18.93
2019.11.30,1. Family Checking,-19.96
-,Expenditures:General Merchandise,-19.96
2019.06.09,1. Family Checking,-20.66
-,Automotive:Fuel: Bethaney,-20.66
2019.11.20,1. Family Checking,0.06
-,Income:Interest Received,0.06
2019.11.19,1. Family Checking,-27.5
-,Automotive:Fuel: Bethaney,-27.5
2019.06.20,1. Family Checking,-18.41
-,Expenditures:General Merchandise,-18.41
2019.01.15,1. Family Checking,-29.44
-,Expenditures:Home Improvement,-29.44
2019.12.11,1. Family Checking,-9.98
-,Expenditures:General Merchandise,-9.98
2019.06.22,1. Family Checking,-18.3
-,Expenditures:Dining,-18.3
2019.09.24,1. Family Checking,-5
-,Work:Non-Reimbursed Expense,-5
2019.09.29,1. Family Checking,220
-,Income:Other Income,220
2019.11.14,1. Family Checking,-12.99
2019.04.06,1. Family Checking,-115
2019.11.24,1. Family Checking,-11.84
-,Expenditures:General Merchandise,-11.84
2019.05.05,1. Family Checking,-8.41
-,Expenditures:General Merchandise,-8.41
2019.07.22,1. Family Checking,-13.49
-,Expenditures:Entertainment,-13.49
2019.01.10,1. Family Checking,-2.69
-,Expenditures:Dining,-2.69
2019.06.15,1. Family Checking,-16.5
-,Automotive:Fuel: Bethaney,-16.5
2019.03.16,1. Family Checking,-15.85
-,Expenditures:Groceries,-15.85
2019.03.05,1. Family Checking,-14.99
-,Expenditures:General Merchandise,-14.99
2019.06.22,1. Family Checking,-30
-,Expenditures:General Merchandise,-30
2019.03.21,1. Family Checking,3353.4
-,Income:Paycheck,3353.4
2019.01.22,1. Family Checking,-14.39
-,Expenditures:General Merchandise,-14.39
2019.12.14,1. Family Checking,-1200
-,Expenditures:Witholding,-1200
2019.03.04,1. Family Checking,-3.16
-,Expenditures:General Merchandise,-3.16
2019.05.18,1. Family Checking,-21.02
-,Expenditures:Groceries,-21.02
2019.03.13,1. Family Checking,-8.69
-,Work:Non-Reimbursed Expense,-8.69
2019.10.17,1. Family Checking,-42.01
-,Expenditures:General Merchandise,-42.01
2019.08.26,1. Family Checking,-21.21
-,Automotive:Fuel: Nick,-21.21
2019.10.06,1. Family Checking,-8.41
-,Expenditures:General Merchandise,-8.41
2019.03.07,1. Family Checking,-73.98
-,Expenditures:General Merchandise,-73.98
2019.06.07,1. Family Checking,18.99
-,Income:Returns,18.99
2019.05.22,1. Family Checking,-23.82
-,Expenditures:General Merchandise,-23.82
2019.04.26,1. Family Checking,-26.31
-,Expenditures:General Merchandise,-26.31
2019.03.01,1. Family Checking,-11.11
-,Expenditures:Groceries,-11.11
2019.09.27,1. Family Checking,-2000
2019.05.25,1. Family Checking,-0.55
-,Expenditures:General Merchandise,-0.55
2019.06.27,1. Family Checking,15.29
-,Income:Returns,15.29
2019.10.03,1. Family Checking,-1.33
-,Expenditures:Dining,-1.33
2019.04.22,1. Family Checking,0.04
2019.01.05,1. Family Checking,-16.43
-,Expenditures:Groceries,-16.43
2019.10.10,1. Family Checking,-19.14
-,Automotive:Fuel: Nick,-19.14
2019.10.01,1. Family Checking,-13.28
-,Expenditures:Groceries,-13.28
2019.10.15,1. Family Checking,-26.61
-,Expenditures:General Merchandise,-26.61
2019.09.02,1. Family Checking,-8.26
-,Expenditures:Groceries,-8.26
2019.09.11,1. Family Checking,-13
-,Expenditures:General Merchandise,-13
2019.08.06,1. Family Checking,-18.54
-,Expenditures:Entertainment,-18.54
2019.02.19,1. Family Checking,-29.66
-,Expenditures:General Merchandise,-29.66
2019.03.16,1. Family Checking,-10.53
-,Expenditures:General Merchandise,-10.53
2019.11.13,1. Family Checking,-25
-,Education:Fees,-25
2019.09.13,1. Family Checking,-15.67
-,Expenditures:Dining,-15.67
2019.10.05,1. Family Checking,-14.78
-,Expenditures:General Merchandise,-14.78
2019.03.03,1. Family Checking,-22.63
-,Expenditures:General Merchandise,-22.63
2019.10.25,1. Family Checking,-20.09
-,Automotive:Fuel: Nick,-20.09
2019.03.27,1. Family Checking,-2.17
-,Work:Non-Reimbursed Expense,-2.17
2019.05.11,1. Family Checking,-8.21
-,Expenditures:Dining,-8.21
2019.05.08,1. Family Checking,-2.11
2019.06.03,1. Family Checking,-53.84
-,Expenditures:Home Improvement,-53.84
2019.06.17,1. Family Checking,-1.91
-,Expenditures:Dining,-1.91
2019.06.21,1. Family Checking,-122.77
-,Expenditures:Groceries,-122.77
2019.11.02,1. Family Checking,-31.6
-,Expenditures:Home Improvement,-31.6
2019.05.29,1. Family Checking,-200
2019.08.28,1. Family Checking,-20.27
-,Expenditures:Groceries,-20.27
2019.01.21,1. Family Checking,-2.17
-,Expenditures:Dining,-2.17
2019.01.03,1. Family Checking,-23.5
-,Expenditures:ATM Withdrawal,-23.5
2019.09.20,1. Family Checking,-15.89
-,Expenditures:General Merchandise,-15.89
2019.09.13,1. Family Checking,-44.99
2019.12.02,1. Family Checking,-11
-,Expenditures:General Merchandise,-11
2019.07.03,1. Family Checking,-0.27
-,Expenditures:Entertainment,-0.27
2019.01.23,1. Family Checking,-180.02
-,Expenditures:Groceries,-180.02
2019.10.25,1. Family Checking,-3.88
-,Expenditures:Dining,-3.88
2019.05.04,1. Family Checking,-215.56
-,Expenditures:Groceries,-215.56
2019.11.22,1. Family Checking,-10
-,Expenditures:ATM Withdrawal,-10
2019.02.01,1. Family Checking,-124.57
-,Bills:Phone,-124.57
2019.02.04,1. Family Checking,-18.42
-,Expenditures:General Merchandise,-18.42
2019.04.12,1. Family Checking,-36.6
-,Expenditures:Dining,-36.6
2019.01.29,1. Family Checking,-5.78
-,Work:Non-Reimbursed Expense,-5.78
2019.12.08,1. Family Checking,-28.48
-,Expenditures:Home Improvement,-28.48
2019.10.08,1. Family Checking,-1.29
2019.10.10,1. Family Checking,-6.13
-,Expenditures:General Merchandise,-6.13
2019.02.03,1. Family Checking,-17.89
-,Expenditures:General Merchandise,-17.89
2019.02.18,1. Family Checking,-3.69
-,Expenditures:General Merchandise,-3.69
2019.10.30,1. Family Checking,-14.19
-,Expenditures:General Merchandise,-14.19
2019.07.22,1. Family Checking,-11.94
-,Expenditures:Groceries,-11.94
2019.03.01,1. Family Checking,26.28
-,Income:Returns,26.28
2019.11.03,1. Family Checking,-9.47
-,Expenditures:General Merchandise,-9.47
2019.01.03,1. Family Checking,-37.48
-,Expenditures:Groceries,-37.48
2019.09.26,1. Family Checking,28.34
-,Income:Returns,28.34
2019.05.27,1. Family Checking,-11.24
-,Expenditures:Groceries,-11.24
2019.12.31,1. Family Checking,-140.26
-,Bills:Phone,-140.26
2019.08.17,1. Family Checking,-5.58
-,Expenditures:Groceries,-5.58
2019.04.29,1. Family Checking,-15.19
-,Expenditures:Groceries,-15.19
2019.12.21,1. Family Checking,-31.66
-,Expenditures:Dining,-31.66
2019.02.12,1. Family Checking,-21.82
-,Automotive:Fuel: Nick,-21.82
2019.05.19,1. Family Checking,-165.72
-,Expenditures:Groceries,-165.72
2019.05.22,1. Family Checking,-4.31
-,Expenditures:Dining,-4.31
2019.11.05,1. Family Checking,19.36
-,Income:Returns,19.36
2019.12.20,1. Family Checking,3
-,Income:Interest Received,3
2019.02.06,1. Family Checking,-20
2019.12.27,1. Family Checking,-5.57
-,Expenditures:Groceries,-5.57
2019.03.23,1. Family Checking,-10.9
-,Expenditures:Dining,-10.9
2019.05.17,1. Family Checking,-31.24
-,Expenditures:Pet Care,-31.24
2019.07.05,1. Family Checking,-301.52
-,Bills:Car Loan,-301.52
2019.04.07,1. Family Checking,-2.76
-,Expenditures:Groceries,-2.76
2019.12.17,1. Family Checking,-2.54
-,Expenditures:Dining,-2.54
2019.11.11,1. Family Checking,-16.32
-,Expenditures:General Merchandise,-16.32
2019.03.12,1. Family Checking,-37.9
2019.11.30,1. Family Checking,-26.11
-,Automotive:Fuel: Bethaney,-26.11
2019.08.09,1. Family Checking,-15.56
-,Education:Sports,-15.56
2019.08.06,1. Family Checking,-23.45
-,Automotive:Fuel: Nick,-23.45
2019.09.03,1. Family Checking,11.02
-,Income:Paycheck,11.02
2019.09.27,1. Family Checking,-1.29
2019.12.22,1. Family Checking,16.88
-,Income:Returns,16.88
2019.10.05,1. Family Checking,-12.28
-,Expenditures:General Merchandise,-12.28
2019.09.19,1. Family Checking,3877.69
2019.06.13,1. Family Checking,-7.36
-,Expenditures:General Merchandise,-7.36
2019.10.06,1. Family Checking,7.42
-,Income:Returns,7.42
2019.09.20,1. Family Checking,-28.34
-,Work:Non-Reimbursed Expense,-28.34
2019.09.12,1. Family Checking,-15.51
-,Automotive:Fuel: Nick,-15.51
2019.08.04,1. Family Checking,-18
-,Expenditures:Dining,-18
2019.10.24,1. Family Checking,-5
2019.12.27,1. Family Checking,-3.16
-,Expenditures:General Merchandise,-3.16
2019.10.02,1. Family Checking,-5.5
-,Expenditures:General Merchandise,-5.5
2019.07.07,1. Family Checking,-24.13
-,Expenditures:General Merchandise,-24.13
2019.06.15,1. Family Checking,-40.75
-,Expenditures:General Merchandise,-40.75
2019.06.14,1. Family Checking,-12.99
2019.05.10,1. Family Checking,-20.19
-,Automotive:Fuel: Nick,-20.19
2019.09.30,1. Family Checking,-56.9
2019.06.07,1. Family Checking,-44.97
-,Expenditures:General Merchandise,-44.97
2019.09.07,1. Family Checking,-61.88
-,Expenditures:General Merchandise,-61.88
2019.11.01,1. Family Checking,-5.1
-,Expenditures:Groceries,-5.1
2019.08.31,1. Family Checking,-13.32
-,Expenditures:Dining,-13.32
2019.03.31,1. Family Checking,-31.51
-,Expenditures:Pet Care,-31.51
2019.06.26,1. Family Checking,-44.25
-,Expenditures:General Merchandise,-44.25
2019.09.07,1. Family Checking,-9.95
2019.08.19,1. Family Checking,-20
-,Expenditures:ATM Withdrawal,-20
2019.11.13,1. Family Checking,-24.5
-,Automotive:Fuel: Nick,-24.5
2019.07.19,1. Family Checking,-61.67
-,Expenditures:Groceries,-61.67
2019.01.08,1. Family Checking,-4.99
-,Expenditures:Groceries,-4.99
2019.06.21,1. Family Checking,-2.49
-,Expenditures:Dining,-2.49
2019.12.13,1. Family Checking,-23
-,Expenditures:ATM Withdrawal,-23
2019.10.05,1. Family Checking,-138.49
-,Expenditures:General Merchandise,-138.49
2019.12.14,1. Family Checking,12
-,Income:Other Income,12
2019.09.15,1. Family Checking,-60.77
-,Expenditures:Pet Care,-60.77
2019.10.22,1. Family Checking,-11.58
-,Expenditures:General Merchandise,-11.58
2019.05.04,1. Family Checking,-124.88
-,Expenditures:Home Improvement,-124.88
2019.03.09,1. Family Checking,-8.88
-,Expenditures:Groceries,-8.88
2019.03.03,1. Family Checking,-158.06
-,Expenditures:Groceries,-158.06
2019.08.31,1. Family Checking,-41.7
-,Expenditures:Dining,-41.7
2019.02.25,1. Family Checking,-16.83
-,Expenditures:General Merchandise,-16.83
2019.08.20,1. Family Checking,22.04
2019.01.25,1. Family Checking,-15.13
-,Work:Non-Reimbursed Expense,-15.13
2019.09.12,1. Family Checking,-34.05
-,Expenditures:General Merchandise,-34.05
2019.11.29,1. Family Checking,1225.68
-,Income:Paycheck,1225.68
2019.08.22,1. Family Checking,-16.64
-,Expenditures:Groceries,-16.64
2019.09.07,1. Family Checking,-25.54
-,Automotive:Fuel: Bethaney,-25.54
2019.11.05,1. Family Checking,0
-,Education,0
2019.09.29,1. Family Checking,-0.99
-,Expenditures:Groceries,-0.99
2019.08.21,1. Family Checking,19.52
-,Income:Returns,19.52
2019.05.08,1. Family Checking,-8.26
-,Expenditures:Dining,-8.26
2019.01.10,1. Family Checking,4210.74
-,Income:Paycheck,4210.74
2019.11.29,1. Family Checking,-74.95
2019.10.30,1. Family Checking,-130.93
-,Expenditures:Groceries,-130.93
2019.10.03,1. Family Checking,12.18
-,Income:Paycheck,12.18
2019.12.20,1. Family Checking,-1.7
-,Expenditures:Dining,-1.7
2019.02.18,1. Family Checking,-21.05
-,Expenditures:General Merchandise,-21.05
2019.02.06,1. Family Checking,-20.73
-,Expenditures:General Merchandise,-20.73
2019.08.28,1. Family Checking,-2.04
-,Expenditures:General Merchandise,-2.04
2019.11.05,1. Family Checking,-20.48
-,Automotive:Fuel: Nick,-20.48
2019.09.22,1. Family Checking,6.04
-,Income:Returns,6.04
2019.06.13,1. Family Checking,3403.1
-,Income:Paycheck,3403.1
2019.08.05,1. Family Checking,-35.98
-,Expenditures:General Merchandise,-35.98
2019.05.10,1. Family Checking,-5.1
-,Expenditures:General Merchandise,-5.1
2019.11.09,1. Family Checking,-5.41
-,Expenditures:General Merchandise,-5.41
2019.09.13,1. Family Checking,-32.94
-,Expenditures:General Merchandise,-32.94
2019.02.13,1. Family Checking,-14.38
-,Expenditures:General Merchandise,-14.38
2019.04.01,1. Family Checking,-25
2019.11.06,1. Family Checking,-24.23
-,Expenditures:General Merchandise,-24.23
2019.09.07,1. Family Checking,-12.65
-,Expenditures:Groceries,-12.65
2019.03.29,1. Family Checking,-800
-,1. USAA Visa Credit Card,-800
2019.10.13,1. Family Checking,-12.32
-,Expenditures:General Merchandise,-12.32
2019.03.11,1. Family Checking,0.04
-,Income:Other Income,0.04
2019.10.15,1. Family Checking,-83.85
-,Expenditures:Groceries,-83.85
2019.01.10,1. Family Checking,-86.2
-,Expenditures:Groceries,-86.2
2019.04.20,1. Family Checking,-21.26
-,Automotive:Fuel: Nick,-21.26
2019.05.06,1. Family Checking,-46.29
-,Expenditures:Groceries,-46.29
2019.08.30,1. Family Checking,-2.48
-,Expenditures:Dining,-2.48
2019.03.07,1. Family Checking,-22.97
-,Healthcare,-22.97
2019.09.24,1. Family Checking,-3.4
-,Expenditures:Dining,-3.4
2019.02.02,1. Family Checking,-31.46
-,Expenditures:Groceries,-31.46
2019.06.06,1. Family Checking,-15
-,Automotive:Fuel: Bethaney,-15
2019.10.19,1. Family Checking,-25.3
-,Automotive:Fuel: Bethaney,-25.3
2019.05.02,1. Family Checking,-18.12
-,Automotive:Fuel: Nick,-18.12
2019.04.17,1. Family Checking,-4.75
-,Expenditures:General Merchandise,-4.75
2019.06.03,1. Family Checking,-24.95
2019.11.13,1. Family Checking,-8.19
-,Expenditures:General Merchandise,-8.19
2019.08.19,1. Family Checking,-9.82
-,Expenditures:General Merchandise,-9.82
2019.04.22,1. Family Checking,-20.17
-,Automotive:Fuel: Nick,-20.17
2019.04.22,1. Family Checking,-366.29
-,1. USAA Visa Credit Card,-366.29
2019.03.04,1. Family Checking,-12.32
-,Expenditures:Dining,-12.32
2019.12.17,1. Family Checking,-800
-,1. USAA Visa Credit Card,-800
2019.03.12,1. Family Checking,-3.23
-,Expenditures:Dining,-3.23
2019.06.07,1. Family Checking,-55.12
-,Expenditures:General Merchandise,-55.12
2019.08.15,1. Family Checking,-2.55
-,Expenditures:Dining,-2.55
2019.10.28,1. Family Checking,-17.86
-,Automotive:Fuel: Nick,-17.86
2019.10.28,1. Family Checking,-8.98
-,Expenditures:Entertainment,-8.98
2019.01.06,1. Family Checking,-115
2019.10.10,1. Family Checking,-27.07
-,Expenditures:Groceries,-27.07
2019.07.02,1. Family Checking,-20.14
2019.01.16,1. Family Checking,-100
-,Expenditures:Groceries,-100
2019.05.02,1. Family Checking,9491.41
-,Income:Paycheck,9491.41
2019.02.05,1. Family Checking,-301.52
2019.06.15,1. Family Checking,-34.24
-,Expenditures:Groceries,-34.24
2019.11.09,1. Family Checking,-16.21
-,Expenditures:General Merchandise,-16.21
2019.08.31,1. Family Checking,-18.84
-,Automotive:Fuel: Bethaney,-18.84
2019.12.04,1. Family Checking,-10
2019.10.13,1. Family Checking,-8
-,Expenditures:Dining,-8
2019.01.15,1. Family Checking,-26.84
-,Expenditures:General Merchandise,-26.84
2019.01.24,1. Family Checking,-20
2019.05.02,1. Family Checking,477
-,8. Vacation Fund,477
2019.03.01,1. Family Checking,-101.17
-,Automotive:Insurance,-101.17
2019.05.04,1. Family Checking,6.31
-,Expenditures:General Merchandise,6.31
2019.10.31,1. Family Checking,-65.82
-,Expenditures:Groceries,-65.82
2019.02.11,1. Family Checking,-31.09
-,Expenditures:Dining,-31.09
2019.07.14,1. Family Checking,-20
-,3. Antonio Checking,-20
2019.09.07,1. Family Checking,-20.2
-,Education:Books,-20.2
2019.07.05,1. Family Checking,-300
-,1. USAA Visa Credit Card,-300
2019.12.09,1. Family Checking,22.72
-,Income:Returns,22.72
2019.09.22,1. Family Checking,-3.79
-,Expenditures:Home Improvement,-3.79
2019.09.09,1. Family Checking,-53.49
-,Expenditures:Groceries,-53.49
2019.10.25,1. Family Checking,-65.66
-,Expenditures:Groceries,-65.66
2019.08.17,1. Family Checking,-191
-,Expenditures:Groceries,-191
2019.02.06,1. Family Checking,255.34
-,Income:Other Income,255.34
2019.12.11,1. Family Checking,12.63
-,Income:Returns,12.63
2019.11.27,1. Family Checking,-28.52
-,Automotive:Fuel: Nick,-28.52
2019.10.19,1. Family Checking,-23.49
-,Expenditures:Dining,-23.49
2019.02.20,1. Family Checking,3
-,Income:Other Income,3
2019.12.09,1. Family Checking,-34.96
-,Expenditures:Home Improvement,-34.96
2019.01.05,1. Family Checking,-24.99
-,Education,-24.99
2019.08.05,1. Family Checking,5
-,Income:Returns,5
2019.12.02,1. Family Checking,-10
-,Education,-10
2019.10.10,1. Family Checking,7.99
-,Income:Returns,7.99
2019.07.29,1. Family Checking,-2000
2019.06.20,1. Family Checking,-20.16
-,Automotive:Fuel: Nick,-20.16
2019.01.14,1. Family Checking,-13.92
-,Expenditures:General Merchandise,-13.92
2019.05.18,1. Family Checking,-20
2019.07.01,1. Family Checking,-5.45
-,Expenditures:Dining,-5.45
2019.08.13,1. Family Checking,-8.41
2019.12.20,1. Family Checking,-1.06
-,Expenditures:Dining,-1.06
2019.07.27,1. Family Checking,-6.36
-,Expenditures:Dining,-6.36
2019.08.05,1. Family Checking,-176.39
-,Bills:Electric,-176.39
2019.12.23,1. Family Checking,-58.92
-,Expenditures:Groceries,-58.92
2019.04.26,1. Family Checking,-47.92
-,Expenditures:Groceries,-47.92
2019.12.26,1. Family Checking,-800
-,Expenditures:Witholding,-800
2019.04.04,1. Family Checking,-26.51
-,Automotive:Fuel: Nick,-26.51
2019.02.21,1. Family Checking,-3.65
-,Expenditures:Groceries,-3.65
2019.03.11,1. Family Checking,0.24
-,Income:Other Income,0.24
2019.07.13,1. Family Checking,-44.99
2019.09.26,1. Family Checking,57.86
-,Income:Returns,57.86
2019.12.07,1. Family Checking,-46.45
-,Expenditures:Dining,-46.45
2019.07.05,1. Family Checking,-22.7
-,Expenditures:Entertainment,-22.7
2019.10.19,1. Family Checking,15.89
-,Income:Returns,15.89
2019.05.19,1. Family Checking,-7.56
-,Expenditures:Home Improvement,-7.56
2019.08.04,1. Family Checking,-10.35
-,Expenditures:Dining,-10.35
2019.11.24,1. Family Checking,-41.05
-,Expenditures:General Merchandise,-41.05
2019.08.06,1. Family Checking,-11.39
-,Expenditures:General Merchandise,-11.39
2019.08.12,1. Family Checking,11.02
2019.05.08,1. Family Checking,-21.33
-,Automotive:Fuel: Nick,-21.33
2019.04.14,1. Family Checking,-15.54
-,Expenditures:Dining,-15.54
2019.11.22,1. Family Checking,-20.17
-,Automotive:Fuel: Nick,-20.17
2019.03.29,1. Family Checking,-74.95
2019.07.18,1. Family Checking,-21.71
-,Expenditures:General Merchandise,-21.71
2019.09.17,1. Family Checking,-2.75
-,Expenditures:Dining,-2.75
2019.07.11,1. Family Checking,3877.69
2019.05.06,1. Family Checking,-5
-,Expenditures:Dining,-5
2019.12.16,1. Family Checking,-49.04
-,Expenditures:General Merchandise,-49.04
2019.02.04,1. Family Checking,-43.67
-,Expenditures:General Merchandise,-43.67
2019.11.23,1. Family Checking,-20.53
-,Expenditures:General Merchandise,-20.53
2019.08.25,1. Family Checking,-59.35
-,Expenditures:General Merchandise,-59.35
2019.04.14,1. Family Checking,-140.06
-,Expenditures:Groceries,-140.06
2019.12.01,1. Family Checking,-18.88
-,Expenditures:Dining,-18.88
2019.03.03,1. Family Checking,-30.35
-,Expenditures:General Merchandise,-30.35
2019.05.11,1. Family Checking,-31.57
-,Expenditures:Groceries,-31.57
2019.05.10,1. Family Checking,-45.27
-,Expenditures:General Merchandise,-45.27
2019.12.16,1. Family Checking,-15.78
-,Expenditures:General Merchandise,-15.78
2019.11.29,1. Family Checking,-100.53
-,Automotive:Insurance,-100.53
2019.05.30,1. Family Checking,-28.61
-,Automotive:Fuel: Bethaney,-28.61
2019.06.13,1. Family Checking,-6.15
-,Expenditures:Dining,-6.15
2019.04.24,1. Family Checking,-23.5
-,Expenditures:ATM Withdrawal,-23.5
2019.11.11,1. Family Checking,-7.39
-,Expenditures:General Merchandise,-7.39
2019.03.01,1. Family Checking,52.99
-,Income:Returns,52.99
2019.09.12,1. Family Checking,11.02
-,Income:Other Income,11.02
2019.07.05,1. Family Checking,-23.12
-,Expenditures:Dining,-23.12
2019.08.09,1. Family Checking,-10.28
-,Expenditures:Dining,-10.28
2019.08.04,1. Family Checking,-44.66
-,Expenditures:Dining,-44.66
2019.10.13,1. Family Checking,-18.39
-,Expenditures:Dining,-18.39
2019.08.15,1. Family Checking,-8.33
-,Expenditures:Groceries,-8.33
2019.09.20,1. Family Checking,-3.13
2019.10.24,1. Family Checking,-5
2019.08.25,1. Family Checking,-15.52
-,Expenditures:General Merchandise,-15.52
2019.07.26,1. Family Checking,-6.85
-,Expenditures:General Merchandise,-6.85
2019.07.16,1. Family Checking,-20.13
-,Automotive:Fuel: Nick,-20.13
2019.07.27,1. Family Checking,-18
-,Expenditures:Dining,-18
2019.03.16,1. Family Checking,-8.41
-,Expenditures:General Merchandise,-8.41
2019.11.09,1. Family Checking,-18.9
-,Expenditures:General Merchandise,-18.9
2019.01.10,1. Family Checking,40.3
-,Income:Returns,40.3
2019.02.11,1. Family Checking,-15.52
-,Expenditures:Dining,-15.52
2019.04.21,1. Family Checking,-11.76
-,Expenditures:Dining,-11.76
2019.03.15,1. Family Checking,-10.99
-,Bills:Cable,-10.99
2019.04.17,1. Family Checking,-20.44
-,Automotive:Fuel: Nick,-20.44
2019.06.23,1. Family Checking,-33.25
-,Expenditures:General Merchandise,-33.25
2019.05.21,1. Family Checking,-3.72
-,Expenditures:Dining,-3.72
2019.02.24,1. Family Checking,-12.4
-,Expenditures:General Merchandise,-12.4
2019.04.09,1. Family Checking,-80.88
-,Expenditures:General Merchandise,-80.88
2019.12.24,1. Family Checking,-1.7
-,Expenditures:Dining,-1.7
2019.03.21,1. Family Checking,0.04
2019.12.17,1. Family Checking,23.2
-,Income:Paycheck,23.2
2019.10.08,1. Family Checking,-1.29
2019.10.10,1. Family Checking,-36.8
-,Expenditures:General Merchandise,-36.8
2019.11.17,1. Family Checking,-46.34
-,Expenditures:General Merchandise,-46.34
2019.09.05,1. Family Checking,-7.73
-,Expenditures:Groceries,-7.73
2019.07.25,1. Family Checking,39
-,3. Antonio Checking,39
2019.06.06,1. Family Checking,-20
-,Expenditures:ATM Withdrawal,-20
2019.06.28,1. Family Checking,-15.97
-,Expenditures:General Merchandise,-15.97
2019.10.07,1. Family Checking,-74.23
-,Expenditures:Groceries,-74.23
2019.10.10,1. Family Checking,-15.26
-,Expenditures:General Merchandise,-15.26
2019.04.23,1. Family Checking,-116.74
-,Expenditures:General Merchandise,-116.74
2019.08.16,1. Family Checking,-23
2019.08.13,1. Family Checking,-44.99
2019.09.01,1. Family Checking,-32.27
-,Expenditures:General Merchandise,-32.27
2019.05.16,1. Family Checking,3353.4
2019.05.01,1. Family Checking,-124.45
-,Bills:Phone,-124.45
2019.12.20,1. Family Checking,-30.24
-,Expenditures:Groceries,-30.24
2019.06.06,1. Family Checking,-113.49
2019.06.01,1. Family Checking,-271.31
-,Expenditures:Groceries,-271.31
2019.10.15,1. Family Checking,-11.86
-,Expenditures:General Merchandise,-11.86
2019.07.16,1. Family Checking,-82.48
-,Expenditures:Groceries,-82.48
2019.10.31,1. Family Checking,-3.77
-,Expenditures:Groceries,-3.77
2019.06.01,1. Family Checking,-25
2019.09.09,1. Family Checking,-14.61
-,Expenditures:General Merchandise,-14.61
2019.07.11,1. Family Checking,-10.08
